Client,Project,User,2016-08-29,2016-08-30,2016-08-31,2016-09-01,2016-09-02,2016-09-03,2016-09-04,Total
,learn web development,Mikkeyfluttie,03:59:09,02:59:25,05:11:23,01:25:26,00:12:26,,,13:47:49
,,Mikkeyfluttie,,,,01:19:00,00:37:00,,,01:56:00
Total:,,,03:59:09,02:59:25,05:11:23,02:44:26,00:49:26,,,15:43:49
