Client,Project,User,2016-08-15,2016-08-16,2016-08-17,2016-08-18,2016-08-19,2016-08-20,2016-08-21,Total
,learn web development,Mikkeyfluttie,05:30:00,,,02:21:28,02:31:58,00:30:52,,10:54:18
,,Mikkeyfluttie,,03:55:47,00:56:10,00:54:19,,,,05:46:16
Total:,,,05:30:00,03:55:47,00:56:10,03:15:47,02:31:58,00:30:52,,16:40:34
