Client,Project,User,2016-09-05,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-10,2016-09-11,Total
,learn web development,Mikkeyfluttie,04:05:12,03:26:55,,05:51:47,01:37:23,,,15:01:17
,,Mikkeyfluttie,,,,01:24:00,00:32:46,01:43:16,,03:40:02
Total:,,,04:05:12,03:26:55,,07:15:47,02:10:09,01:43:16,,18:41:19
