Client,Project,User,2016-09-12,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-17,2016-09-18,Total
,learn web development,Mikkeyfluttie,01:48:32,01:37:49,04:48:29,,04:45:56,,,13:00:46
,,Mikkeyfluttie,,,00:36:49,,00:34:26,,,01:11:15
Total:,,,01:48:32,01:37:49,05:25:18,,05:20:22,,,14:12:01
