Client,Project,User,2016-08-22,2016-08-23,2016-08-24,2016-08-25,2016-08-26,2016-08-27,2016-08-28,Total
,learn web development,Mikkeyfluttie,02:06:02,04:52:24,00:17:00,04:10:45,02:55:01,00:41:00,,15:02:12
,,Mikkeyfluttie,01:00:26,,00:33:22,,,,,01:33:48
Total:,,,03:06:28,04:52:24,00:50:22,04:10:45,02:55:01,00:41:00,,16:36:00
