Client,Project,User,2016-08-22,2016-08-23,2016-08-24,2016-08-25,2016-08-26,2016-08-27,2016-08-28,Total
,learn web dev,Chrisdaynes,14:25:58,03:59:04,09:02:41,02:41:37,09:55:18,,00:14:48,40:19:26
,,Chrisdaynes,,00:00:05,,,00:13:09,,,00:13:15
Total:,,,14:25:58,03:59:09,09:02:41,02:41:37,10:08:27,,00:14:48,40:32:41
